id	type	license	datasetID	basisOfRecord	occurrenceID	occurrenceRemarks	sex	lifeStage	reproductiveCondition	organismName	samplingProtocol	eventDateRange	decimalLatitude	decimalLongitude	geodeticDatum	scientificNameID	scientificName	taxonRank	footprintWKT
F53:deployment1	occurrence	https://creativecommons.org/publicdomain/zero/1.0/	doi:10.5441/001/1.7d8301h2	MachineObservation	F53:deployment1:2014-02-19		f	adult		F53		2014-02-19T03:01:29Z/2014-02-19T23:01:33Z	38.297873	-112.011058	WGS84	TSN 552479 (itis.gov)	Puma concolor	species	POLYGON ((-112.0089089 38.2975864, -112.0133703 38.2977817, -112.0132744 38.2982397, -112.0126653 38.2982292, -112.0090308 38.2977158, -112.0089089 38.2975864))
F53:deployment1	occurrence	https://creativecommons.org/publicdomain/zero/1.0/	doi:10.5441/001/1.7d8301h2	MachineObservation	F53:deployment1:2014-02-20		f	adult		F53		2014-02-20T03:01:00Z/2014-02-20T23:01:20Z	38.309798	-111.985701	WGS84	TSN 552479 (itis.gov)	Puma concolor	species	POLYGON ((-111.9943258 38.3026119, -111.9833233 38.3150042, -111.9814122 38.3122739, -111.9839033 38.30844920000001, -111.9943258 38.3026119))
F53:deployment1	occurrence	https://creativecommons.org/publicdomain/zero/1.0/	doi:10.5441/001/1.7d8301h2	MachineObservation	F53:deployment1:2014-02-21		f	adult		F53		2014-02-21T03:00:57Z/2014-02-21T23:01:10Z	38.308941	-111.982528	WGS84	TSN 552479 (itis.gov)	Puma concolor	species	POLYGON ((-111.9902303 38.3052158, -111.9928681 38.3125053, -111.9817597 38.3116792, -111.9746817 38.3074347, -111.9750436 38.3062106, -111.9902303 38.3052158))
F53:deployment1	occurrence	https://creativecommons.org/publicdomain/zero/1.0/	doi:10.5441/001/1.7d8301h2	MachineObservation	F53:deployment1:2014-02-22		f	adult		F53		2014-02-22T03:00:52Z/2014-02-22T23:01:23Z	38.309646	-111.991192	WGS84	TSN 552479 (itis.gov)	Puma concolor	species	POLYGON ((-111.9759731 38.3067394, -112.0145114 38.3089117, -111.9928608 38.3124344, -111.9814242 38.3104997, -111.9759731 38.3067394))
F53:deployment1	occurrence	https://creativecommons.org/publicdomain/zero/1.0/	doi:10.5441/001/1.7d8301h2	MachineObservation	F53:deployment1:2014-02-23		f	adult		F53		2014-02-23T03:01:46Z/2014-02-23T23:01:48Z	38.316045	-112.000108	WGS84	TSN 552479 (itis.gov)	Puma concolor	species	POLYGON ((-111.9746386 38.3074567, -112.010355 38.3171156, -112.0103847 38.31723970000001, -112.0093308 38.3178247, -112.0020664 38.3197119, -111.9938714 38.3169219, -111.9746386 38.3074567))
F53:deployment1	occurrence	https://creativecommons.org/publicdomain/zero/1.0/	doi:10.5441/001/1.7d8301h2	MachineObservation	F53:deployment1:2014-02-24		f	adult		F53		2014-02-24T03:01:20Z/2014-02-24T23:01:52Z	38.309046	-112.016607	WGS84	TSN 552479 (itis.gov)	Puma concolor	species	POLYGON ((-112.0205586 38.3083258, -112.0182083 38.3094806, -112.0133211 38.3089711, -112.0131439 38.3088708, -112.0205586 38.3083258))
F53:deployment1	occurrence	https://creativecommons.org/publicdomain/zero/1.0/	doi:10.5441/001/1.7d8301h2	MachineObservation	F53:deployment1:2014-02-25		f	adult		F53		2014-02-25T03:01:50Z/2014-02-25T23:00:53Z	38.297571	-112.054063	WGS84	TSN 552479 (itis.gov)	Puma concolor	species	POLYGON ((-112.0563392 38.2938842, -112.0636614 38.2962586, -112.0673172 38.3007275, -112.0302128 38.30608529999999, -112.0504092 38.29430170000001, -112.0563392 38.2938842))
F53:deployment1	occurrence	https://creativecommons.org/publicdomain/zero/1.0/	doi:10.5441/001/1.7d8301h2	MachineObservation	F53:deployment1:2014-02-26		f	adult		F53		2014-02-26T03:01:06Z/2014-02-26T23:00:54Z	38.271162	-112.034804	WGS84	TSN 552479 (itis.gov)	Puma concolor	species	POLYGON ((-112.0148561 38.2666406, -112.0344094 38.2671417, -112.0576231 38.28245310000001, -112.0148561 38.2666406))
F53:deployment1	occurrence	https://creativecommons.org/publicdomain/zero/1.0/	doi:10.5441/001/1.7d8301h2	MachineObservation	F53:deployment1:2014-02-27		f	adult		F53		2014-02-27T03:00:55Z/2014-02-27T23:00:59Z	38.278125	-112.002771	WGS84	TSN 552479 (itis.gov)	Puma concolor	species	POLYGON ((-112.0062844 38.2568939, -112.0119067 38.2877447, -112.0118514 38.2878181, -112.0102119 38.2880122, -111.9885597 38.2764344, -111.9878131 38.27184860000001, -112.0062844 38.2568939))
F53:deployment1	occurrence	https://creativecommons.org/publicdomain/zero/1.0/	doi:10.5441/001/1.7d8301h2	MachineObservation	F53:deployment1:2014-02-28		f	adult		F53		2014-02-28T03:01:38Z/2014-02-28T23:01:36Z	38.272776	-112.009762	WGS84	TSN 552479 (itis.gov)	Puma concolor	species	POLYGON ((-112.0077097 38.2634186, -112.0152333 38.2638033, -112.01567 38.2675436, -112.0118872 38.2902814, -111.9983097 38.2788325, -112.0077097 38.2634186))
F53:deployment1	occurrence	https://creativecommons.org/publicdomain/zero/1.0/	doi:10.5441/001/1.7d8301h2	MachineObservation	F53:deployment1:2014-03-01		f	adult		F53		2014-03-01T03:00:56Z/2014-03-01T23:01:48Z	38.249904	-112.011255	WGS84	TSN 552479 (itis.gov)	Puma concolor	species	POLYGON ((-112.0108403 38.2407186, -112.0177811 38.24836939999999, -112.0135947 38.2612258, -111.9900303 38.2523889, -112.0108403 38.2407186))
F53:deployment1	occurrence	https://creativecommons.org/publicdomain/zero/1.0/	doi:10.5441/001/1.7d8301h2	MachineObservation	F53:deployment1:2014-03-02		f	adult		F53		2014-03-02T03:01:00Z/2014-03-02T23:01:36Z	38.253173	-112.006445	WGS84	TSN 552479 (itis.gov)	Puma concolor	species	POLYGON ((-111.9962069 38.24695670000001, -112.0087456 38.25304860000001, -112.0152511 38.25715779999999, -112.0121867 38.2567756, -111.9934625 38.2482472, -111.9962069 38.24695670000001))
